ILSVRC2015_test_00004638_lowered_contrast.jpeg,two men are playing soccer
ILSVRC2015_test_00004641_lowered_contrast.jpeg,man is playing the guitar
ILSVRC2015_test_00004643_lowered_contrast.jpeg,man in blue shirt is standing on the beach
ILSVRC2015_test_00004652_lowered_contrast.jpeg,man is riding on the beach
ILSVRC2015_test_00004661_lowered_contrast.jpeg,two men are playing soccer
ILSVRC2015_test_00004663_lowered_contrast.jpeg,man in blue shirt is standing on the sidewalk
ILSVRC2015_test_00004664_lowered_contrast.jpeg,two dogs are playing in the grass
ILSVRC2015_test_00004670_lowered_contrast.jpeg,man in blue shirt is sitting on the floor
ILSVRC2015_test_00004672_lowered_contrast.jpeg,two dogs are playing in the water
ILSVRC2015_test_00004677_lowered_contrast.jpeg,man in blue shirt is standing on the sidewalk
ILSVRC2015_test_00004682_lowered_contrast.jpeg,man is riding bike on the street
ILSVRC2015_test_00004683_lowered_contrast.jpeg,two children are playing with toy
ILSVRC2015_test_00004689_lowered_contrast.jpeg,man in blue shirt is sitting on the ground
ILSVRC2015_test_00004697_lowered_contrast.jpeg,man in blue shirt is sitting on the ground with his hands on his head
ILSVRC2015_test_00004709_lowered_contrast.jpeg,man is sitting on the floor with his hands on his head
ILSVRC2015_test_00004712_lowered_contrast.jpeg,man in blue shirt is sitting on the ground
ILSVRC2015_test_00004721_lowered_contrast.jpeg,man in blue shirt is standing on the beach
ILSVRC2015_test_00004722_lowered_contrast.jpeg,man is playing the guitar
ILSVRC2015_test_00004724_lowered_contrast.jpeg,man in blue shirt is sitting on the ground with his hands on his head
ILSVRC2015_test_00004727_lowered_contrast.jpeg,man is playing the guitar
ILSVRC2015_test_00004734_lowered_contrast.jpeg,young boy is playing with toy
ILSVRC2015_test_00004743_lowered_contrast.jpeg,two men are playing soccer
ILSVRC2015_test_00004753_lowered_contrast.jpeg,two dogs are playing in the grass
ILSVRC2015_test_00004756_lowered_contrast.jpeg,man in blue shirt is standing on the beach
ILSVRC2015_test_00004758_lowered_contrast.jpeg,two dogs are playing in the grass
